case_id,candidate,family,severity,expected_violation,physics_failed,position_rmse,velocity_rmse,initial_condition_error,energy_drift,momentum_drift,collision_event_error,kinematic_residual,mse,psnr,ssim,ssim_error,pixel_frechet,temporal_gradient_mse,ratio_to_random_mse,low_sensitivity_mse,exact_miss_mse,ratio_to_random_ssim_error,low_sensitivity_ssim_error,exact_miss_ssim_error,ratio_to_random_pixel_frechet,low_sensitivity_pixel_frechet,exact_miss_pixel_frechet,ratio_to_random_temporal_gradient_mse,low_sensitivity_temporal_gradient_mse,exact_miss_temporal_gradient_mse
case-009,inelastic-0.95,inelastic,0.05,energy,1.0,0.0015683332044671323,0.024199906730608286,0.0,0.0972976506956435,0.0,0.0,0.042828467662124815,0.00012378454266581684,39.07333583539336,0.9949866687094019,0.005013331290598111,1.713902563179725e-05,4.922152220387943e-05,0.005199111354334754,1.0,0.0,0.005199777951298794,1.0,0.0,0.00023602118113785436,1.0,0.0,0.0020432424125239666,1.0,0.0
case-009,inelastic-0.80,inelastic,0.2,energy,1.0,0.006273332817869797,0.09679962692243342,0.0,0.3592528641069935,0.0,0.0,0.042828467662124815,0.0013226551236584783,28.785533813735867,0.9464326088718024,0.05356739112819764,0.00020838610385947968,0.00020077454973943532,0.05555323082500525,1.0,0.0,0.055559571700231666,1.0,0.0,0.002869680892149553,1.0,0.0,0.008334384168043553,1.0,0.0
case-009,inelastic-0.50,inelastic,0.5,energy,1.0,0.01568333204467392,0.24199906730608353,0.0,0.7484434668895704,0.0,0.0,0.042828467662124815,0.004294465761631727,23.670908553965088,0.8261100670071014,0.17388993299289857,0.000880770030593476,0.00020938081433996558,0.18037313239003536,1.0,0.0,0.18035692977741058,1.0,0.0,0.012129066575746604,1.0,0.0,0.008691640182442496,1.0,0.0
case-009,momentum-kick-0.025,momentum-kick,0.025,momentum,1.0,0.0008881983317920414,0.013705197802604348,0.0,0.0033774917318073706,0.028287234407629987,0.0,0.042828467662124815,4.153179907007143e-05,43.816192557602974,0.9983183569018692,0.0016816430981307917,8.059151685176503e-06,8.66976461111335e-06,0.0017443894323227703,1.0,0.0,0.0017441836967792067,1.0,0.0,0.00011098241758712071,1.0,0.0,0.0003598919734065025,1.0,0.0
case-009,momentum-kick-0.075,momentum-kick,0.075,momentum,1.0,0.002664594995373401,0.041115593407813004,0.0,0.014933480978014665,0.08486170322288987,0.0,0.042828467662124815,0.00032894406467676163,34.8287794541632,0.9866748602661611,0.013325139733838864,5.658291239430454e-05,4.7101613745326176e-05,0.013816077393597338,1.0,0.0,0.013820703992958042,1.0,0.0,0.0007792021613379825,1.0,0.0,0.0019552425563788647,1.0,0.0
case-009,momentum-kick-0.150,momentum-kick,0.15,momentum,1.0,0.005329189990744744,0.08223118681562597,0.0,0.04426997930380855,0.16972340644577968,0.0,0.042828467662124815,0.0010423525236546993,29.81985377786973,0.957780000361066,0.04221999963893397,0.00023472369491702155,0.00011365844693500549,0.04378015804108292,1.0,0.0,0.043790168752278986,1.0,0.0,0.003232375334836781,1.0,0.0,0.0047180938118347,1.0,0.0
case-009,collision-dropout,collision-dropout,1.0,collision,1.0,0.06312609491231465,0.9679962692243346,0.0,0.0,0.0,1.0,2.9312663950857345e-14,0.010128638707101345,19.944489200613628,0.5469904797242876,0.4530095202757124,0.0032331763732929477,0.00033635104773566127,0.4254159636733638,0.0,0.0,0.469857022949119,0.0,0.0,0.044524007539603935,1.0,0.0,0.013962321672697283,1.0,0.0
case-009,time-reverse,time-reverse,1.0,initial-condition,1.0,0.022248619425939888,1.115270182689722,0.8830401615897704,4.26414972895481e-16,0.0,0.0,1.2472651746701209,0.008961017243564129,20.476426869684154,0.6371216725179237,0.36287832748207627,6.25367813089639e-16,0.0006371392519213259,0.37637434766941585,0.0,0.0,0.3763738354543033,0.0,0.0,8.611927717593112e-15,1.0,1.0,0.0264483885081238,1.0,0.0
case-009,random,random,1.0,state,1.0,0.2726800414476997,0.8945978301540685,0.6321670170890331,1.629561250131647,2.195242672439478,1.0,372.99070900189366,0.023808788508176804,16.23262702772343,0.03585665819712793,0.9641433418028721,0.07261647259440987,0.024089908227324486,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
case-010,correct,correct,0.0,none,0.0,0.0,0.0,0.0,1.4455161785780158e-16,0.0,0.0,0.0034093773536060996,0.0,120.0,1.0,0.0,3.3480163086352377e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.432731450248638e-15,0.0,0.0,0.0,0.0,0.0
